id,label
image_0000,highway
image_0001,opencountry
image_0002,suburb
image_0003,bedroom
image_0004,tallbuilding
image_0005,opencountry
image_0006,mountain
image_0007,forest
image_0008,tallbuilding
image_0009,street
image_0010,highway
image_0011,opencountry
image_0012,coast
image_0013,street
image_0014,tallbuilding
image_0015,opencountry
image_0016,highway
image_0017,livingroom
image_0018,tallbuilding
image_0019,forest
image_0020,highway
image_0021,mountain
image_0022,highway
image_0023,insidecity
image_0024,forest
image_0025,highway
image_0026,opencountry
image_0027,livingroom
image_0028,mountain
image_0029,forest
image_0030,insidecity
image_0031,forest
image_0032,livingroom
image_0033,highway
image_0034,highway
image_0035,suburb
image_0036,forest
image_0037,highway
image_0038,forest
image_0039,suburb
image_0040,suburb
image_0041,livingroom
image_0042,opencountry
image_0043,suburb
image_0044,mountain
image_0045,forest
image_0046,coast
image_0047,highway
image_0048,street
image_0049,coast
image_0050,livingroom
image_0051,coast
image_0052,livingroom
image_0053,insidecity
image_0054,suburb
image_0055,kitchen
image_0056,tallbuilding
image_0057,highway
image_0058,street
image_0059,livingroom
image_0060,forest
image_0061,coast
image_0062,suburb
image_0063,livingroom
image_0064,coast
image_0065,coast
image_0066,street
image_0067,tallbuilding
image_0068,livingroom
image_0069,bedroom
image_0070,highway
image_0071,highway
image_0072,coast
image_0073,bedroom
image_0074,opencountry
image_0075,opencountry
image_0076,opencountry
image_0077,forest
image_0078,coast
image_0079,highway
image_0080,insidecity
image_0081,forest
image_0082,bedroom
image_0083,opencountry
image_0084,forest
image_0085,mountain
image_0086,forest
image_0087,tallbuilding
image_0088,opencountry
image_0089,street
image_0090,livingroom
image_0091,street
image_0092,forest
image_0093,suburb
image_0094,forest
image_0095,bedroom
image_0096,opencountry
image_0097,mountain
image_0098,livingroom
image_0099,coast
image_0100,opencountry
image_0101,coast
image_0102,tallbuilding
image_0103,tallbuilding
image_0104,livingroom
image_0105,insidecity
image_0106,opencountry
image_0107,opencountry
image_0108,tallbuilding
image_0109,tallbuilding
image_0110,forest
image_0111,forest
image_0112,tallbuilding
image_0113,insidecity
image_0114,mountain
image_0115,street
image_0116,insidecity
image_0117,coast
image_0118,street
image_0119,opencountry
image_0120,highway
image_0121,street
image_0122,livingroom
image_0123,mountain
image_0124,forest
image_0125,forest
image_0126,tallbuilding
image_0127,street
image_0128,suburb
image_0129,forest
image_0130,mountain
image_0131,suburb
image_0132,livingroom
image_0133,opencountry
image_0134,insidecity
image_0135,forest
image_0136,tallbuilding
image_0137,livingroom
image_0138,mountain
image_0139,forest
image_0140,forest
image_0141,tallbuilding
image_0142,tallbuilding
image_0143,forest
image_0144,mountain
image_0145,tallbuilding
image_0146,forest
image_0147,mountain
image_0148,street
image_0149,forest
image_0150,forest
image_0151,mountain
image_0152,mountain
image_0153,tallbuilding
image_0154,livingroom
image_0155,tallbuilding
image_0156,forest
image_0157,highway
image_0158,coast
image_0159,street
image_0160,forest
image_0161,forest
image_0162,highway
image_0163,livingroom
image_0164,highway
image_0165,mountain
image_0166,suburb
image_0167,tallbuilding
image_0168,insidecity
image_0169,office
image_0170,tallbuilding
image_0171,tallbuilding
image_0172,street
image_0173,forest
image_0174,street
image_0175,tallbuilding
image_0176,mountain
image_0177,opencountry
image_0178,street
image_0179,tallbuilding
image_0180,tallbuilding
image_0181,forest
image_0182,highway
image_0183,livingroom
image_0184,forest
image_0185,forest
image_0186,livingroom
image_0187,opencountry
image_0188,opencountry
image_0189,insidecity
image_0190,opencountry
image_0191,highway
image_0192,mountain
image_0193,insidecity
image_0194,livingroom
image_0195,forest
image_0196,suburb
image_0197,suburb
image_0198,opencountry
image_0199,tallbuilding
image_0200,suburb
image_0201,coast
image_0202,livingroom
image_0203,tallbuilding
image_0204,highway
image_0205,livingroom
image_0206,opencountry
image_0207,livingroom
image_0208,livingroom
image_0209,coast
image_0210,mountain
image_0211,forest
image_0212,mountain
image_0213,livingroom
image_0214,opencountry
image_0215,livingroom
image_0216,forest
image_0217,mountain
image_0218,livingroom
image_0219,mountain
image_0220,suburb
image_0221,opencountry
image_0222,livingroom
image_0223,forest
image_0224,opencountry
image_0225,insidecity
image_0226,tallbuilding
image_0227,livingroom
image_0228,suburb
image_0229,suburb
image_0230,forest
image_0231,coast
image_0232,mountain
image_0233,livingroom
image_0234,tallbuilding
image_0235,opencountry
image_0236,highway
image_0237,opencountry
image_0238,livingroom
image_0239,highway
image_0240,forest
image_0241,opencountry
image_0242,opencountry
image_0243,tallbuilding
image_0244,insidecity
image_0245,forest
